dataset,retriever,severity,n,ndcg10,recall10,mrr10,shapley_exact,shapley_f1,delta_exact,delta_f1,random_exact,random_f1,mcr_exact,residual,pair_interaction,triple_interaction
scidocs,dense,0.2,6484,0.3167310378293959,0.32722856261566935,0.5476257796970321,0.8541024059222702,0.9270512029611351,0.8231030228254164,0.9115515114127082,0.4309068476249229,0.5914558914250463,0.6627082048118446,3.397577540482357e-05,0.029308566837175122,0.0018031564566134144
scidocs,dense,0.35,6926,0.3071742693215451,0.3171960727692752,0.5312440126690776,0.8657233612474733,0.9328616806237366,0.8078255847531043,0.9039127923765521,0.43315044758879584,0.585619405140052,0.7619116373086919,1.7990086596055436e-05,0.04899061877013592,0.004680332707435198
scidocs,dense,0.5,7293,0.2974805216542701,0.30707527766351295,0.5150430179841945,0.8672699849170438,0.9336349924585219,0.7991224461812697,0.8995612230906349,0.4382284382284382,0.5888523241464418,0.8018648018648019,1.9741191011473307e-05,0.06484273430283401,0.007285047332242102
scidocs,hybrid,0.2,6190,0.3123625140597275,0.32453957996768984,0.5395036797702387,0.8483037156704362,0.9241518578352181,0.8182552504038773,0.9091276252019386,0.43037156704361873,0.5921647819063005,0.654281098546042,2.2033124861848346e-05,0.02941069989846935,0.0017733368272712321
scidocs,hybrid,0.35,6646,0.30206927919217563,0.31366987661751433,0.5223624784450845,0.8629250677099007,0.9314625338549504,0.8083057478182365,0.9041528739091182,0.4328919650917845,0.5856154077640686,0.7568462232922059,1.6076428782909813e-05,0.04729284542881828,0.00446158444105565
scidocs,hybrid,0.5,7022,0.29147860451409563,0.30284107091996587,0.5042633017319716,0.8627171745941328,0.9313585872970663,0.7990600968385075,0.8995300484192538,0.4400455710623754,0.5893620051267445,0.7974935915693535,2.0464169687513358e-05,0.06342049884559617,0.007141053231116621
scifact,bm25,0.2,7747,0.7976462393136601,0.9484402564433544,0.7563224678882353,0.8471666451529625,0.9235833225764812,0.8185103911191429,0.9092551955595715,0.43694333290305926,0.5962307990189751,0.6712275719633406,2.6040536401104404e-07,0.12588908826989736,0.012445623255287261
scifact,bm25,0.35,8098,0.7864534604319547,0.9347246233637935,0.7457550267163752,0.8625586564583848,0.9312793282291923,0.8108174857989627,0.9054087428994814,0.44331933810817487,0.5940973079772783,0.7583353914546802,2.5114867551587064e-06,0.19674296881211858,0.030310989517411818
scifact,bm25,0.5,8437,0.773328350776832,0.9196989451226739,0.7331924196330976,0.8795780490695745,0.9397890245347873,0.8064477894986369,0.9032238947493185,0.4300106672988029,0.5807751570463435,0.8254118762593339,8.019588051952612e-07,0.2477222777135079,0.04502408015567883
scifact,dense,0.2,7765,0.7886233116854725,0.9571281390856408,0.7395779290466992,0.8502253702511269,0.9251126851255634,0.8193174500965873,0.9096587250482936,0.43374114616870574,0.5936252414681262,0.674307791371539,9.865495716232542e-07,0.12351951907567321,0.011852847059353617
scifact,dense,0.35,8082,0.7796576941957469,0.9462261816382084,0.7310802370936,0.8638950754763672,0.9319475377381836,0.8121752041573868,0.9060876020786934,0.4417223459539718,0.593046275674338,0.7578569660975006,2.1421316901703254e-06,0.19150119927775144,0.028860089617674188
scifact,dense,0.5,8490,0.7607589500898316,0.924228504122497,0.7131065959952886,0.880683156654888,0.940341578327444,0.8063604240282686,0.9031802120141342,0.4326266195524146,0.5830977620730271,0.8226148409893993,3.172013749842421e-06,0.241281615220692,0.04351518924422796
scifact,hybrid,0.2,8259,0.8004649690234308,0.9648020341445696,0.7517986150750409,0.8519191185373531,0.9259595592686766,0.8212858699600436,0.9106429349800218,0.4355248819469669,0.5945029664608306,0.6807119505993462,9.275405525674499e-07,0.12575660799420746,0.012326506664347116
scifact,hybrid,0.35,8557,0.7953164208897464,0.9575902769662266,0.7470992374200275,0.8673600560944256,0.9336800280472128,0.8164076194928129,0.9082038097464065,0.4404581044758677,0.5916208951735421,0.7644034124108917,1.3913896128455665e-07,0.19508049889564044,0.030188692820871707
scifact,hybrid,0.5,8908,0.782657508361729,0.9431971261787158,0.7349932466625327,0.8858329591378536,0.9429164795689268,0.8109564436461607,0.9054782218230804,0.4319712617871576,0.5821733273462056,0.8330713964975303,1.8818383906718744e-06,0.2480516355033562,0.045208459620711405
trec-covid,bm25,0.2,1654,0.573755284123612,0.015844161330968658,0.7779020556227328,0.8621523579201935,0.9310761789600968,0.6837968561064087,0.8418984280532044,0.4189842805320435,0.5770858524788391,0.8814993954050786,1.0764017340884456e-05,0.09127405447195375,0.023657918883736136
trec-covid,bm25,0.35,1695,0.567520503691439,0.015673361164849176,0.771268436578171,0.8997050147492626,0.9498525073746312,0.6867256637168142,0.8433628318584071,0.4194690265486726,0.5631268436578171,0.943952802359882,1.2891660948816092e-05,0.1546684312433715,0.0454247900416883
trec-covid,bm25,0.5,1716,0.5654246409587833,0.01566204029632718,0.7695221445221445,0.9236596736596736,0.9618298368298368,0.6800699300699301,0.840034965034965,0.4405594405594406,0.5804195804195804,0.9790209790209791,1.788059414772715e-05,0.21205153843646052,0.06643914397529792
trec-covid,dense,0.2,1554,0.49505966116752187,0.01400977285839527,0.7816724888153459,0.8384813384813384,0.9192406692406693,0.6866151866151866,0.8433075933075933,0.4189189189189189,0.5775418275418276,0.8532818532818532,5.868975353596544e-06,0.07760989316641762,0.019299227476744906
trec-covid,dense,0.35,1584,0.4928266803269507,0.013891062589384799,0.7819173881673882,0.8554292929292929,0.9277146464646465,0.6830808080808081,0.8415404040404041,0.41603535353535354,0.5621843434343434,0.9071969696969697,1.485797966416821e-05,0.12875801304677156,0.03641650251100708
trec-covid,dense,0.5,1627,0.48646589681588526,0.01373862400161068,0.773854889220593,0.9078057775046097,0.9539028887523049,0.6736324523663184,0.8368162261831592,0.4388444990780578,0.5792870313460357,0.9483712354025814,2.3349477718244736e-05,0.17809292092079163,0.05467270127101261
trec-covid,hybrid,0.2,1684,0.5457636251672623,0.015014909270315237,0.7667211005542359,0.8604513064133017,0.9302256532066508,0.6864608076009501,0.8432304038004751,0.4192399049881235,0.5766033254156769,0.8723277909738717,3.898352998099048e-05,0.08707704289336014,0.022153532714457694
trec-covid,hybrid,0.35,1716,0.5435801690348585,0.014904144927840812,0.7657828282828283,0.8886946386946387,0.9443473193473193,0.6946386946386947,0.8473193473193473,0.4195804195804196,0.5641025641025641,0.9353146853146853,1.782907077239723e-05,0.14732230138012808,0.043157617109275806
trec-covid,hybrid,0.5,1738,0.5424701364683197,0.014891449194539845,0.765084388185654,0.9159953970080552,0.9579976985040276,0.6829689298043728,0.8414844649021864,0.4390103567318757,0.5788262370540852,0.977560414269275,7.224938657981246e-06,0.20416310952142416,0.06456717893839571
