run_id,query_id,pipeline_id,is_correct,total_error,interaction_term,dominant_fault,dominant_fault_confidence,phi_scope,phi_facts,phi_aggregation
f0066a4ac5ed8e91b5707777d794f914,c8598e25-c3f1-567d-8662-9efea4a29d96,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
a17b1d2f597cc23ab9c549017c78d452,c8598e25-c3f1-567d-8662-9efea4a29d96,P4-compound-scope-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
a479f1c8f17e1b3c49dd1b702aa5db08,c8598e25-c3f1-567d-8662-9efea4a29d96,P5-full-compound,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
0a93b3a14a289b40d50215aaf2e69b54,c8598e25-c3f1-567d-8662-9efea4a29d96,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
134f8caa292a98099fc6bef1c0c2fa0e,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
13d5410aaee383bd95d449225b82728b,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,P1-wrong-scope,False,1.0,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
7b89fe3e1e22322a88be366df678c3b6,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,P2-wrong-facts,True,0.0,0.0,none,0.0,0.0,0.0,0.0
4d79394745e907f5218e416fe4592e26,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
173ffe23330341f30df51ea81c5b249b,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,P4-compound-scope-facts,False,1.0,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
64d4cce8298946c9fbf5a7adff049697,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,P5-full-compound,False,1.0,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
9cf9b7f2df1ca6d55046503871a4daad,a19bef48-5efc-50cd-a1de-bc5cf39f42bf,gnn-extractor,False,1.0,0.0,scope,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
f1cf4be397380ab1cd3c4d6990fcfea3,f37f7d8a-956b-554b-bc6b-c570c05cf87b,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
bfb85744c9b445ff852137ae4f2cbc37,f37f7d8a-956b-554b-bc6b-c570c05cf87b,P1-wrong-scope,False,0.8,0.0,scope,0.4,0.4,0.4,0.0
e7dec9d79014b3e8862210c786737f35,f37f7d8a-956b-554b-bc6b-c570c05cf87b,P2-wrong-facts,True,0.0,0.0,none,0.0,0.0,0.0,0.0
8a947f7b3334625565d39ee1a61c117e,f37f7d8a-956b-554b-bc6b-c570c05cf87b,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
